doc_id,true,pred,n_true_labels,n_pred_labels,tp,fp,fn,precision,recall,f1,accuracy,missing_labels,extra_labels,correct_labels
Fantasy  a new Agrius wiper deployed through a supplychain attack,"['T1003.001', 'T1027', 'T1033', 'T1059.003', 'T1070.004', 'T1078', 'T1082', 'T1083', 'T1106', 'T1112', 'T1140', 'T1190', 'T1218.011', 'T1570']","['T1003.001', 'T1021.001', 'T1027', 'T1033', 'T1036.005', 'T1059.003', 'T1070.004', 'T1078', 'T1083', 'T1112', 'T1140', 'T1190', 'T1219', 'T1570']",14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6470588235294118,"['T1082', 'T1106', 'T1218.011']","['T1021.001', 'T1036.005', 'T1219']","['T1003.001', 'T1027', 'T1033', 'T1059.003', 'T1070.004', 'T1078', 'T1083', 'T1112', 'T1140', 'T1190', 'T1570']"
FedEx Phishing Campaign Abusing TrustedForm and PAAY,['T1204.002'],"['T1016', 'T1082', 'T1204.002']",1,3,1,2,0,0.3333333333333333,1.0,0.5,0.3333333333333333,[],"['T1016', 'T1082']",['T1204.002']
Hafniuminspired cyberattacks neutralized by AI,"['T1036.005', 'T1078', 'T1110', 'T1566.001']","['T1005', 'T1036.005', 'T1078', 'T1204.002', 'T1566.001']",4,5,3,2,1,0.6,0.75,0.6666666666666665,0.5,['T1110'],"['T1005', 'T1204.002']","['T1036.005', 'T1078', 'T1566.001']"
LAPSUS Recent techniques tactics and procedures,"['T1005', 'T1021.001', 'T1070.004', 'T1078', 'T1082', 'T1552.001']","['T1005', 'T1021.001', 'T1078', 'T1552.001', 'T1562.001']",6,5,4,1,2,0.8,0.6666666666666666,0.7272727272727272,0.5714285714285714,"['T1070.004', 'T1082']",['T1562.001'],"['T1005', 'T1021.001', 'T1078', 'T1552.001']"
LockBit 20 How This RaaS Operates and How to Protect Against It,"['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1059.003', 'T1068', 'T1078', 'T1082', 'T1105', 'T1110', 'T1190', 'T1210', 'T1219', 'T1484.001', 'T1548.002', 'T1562.001', 'T1570']","['T1003.001', 'T1005', 'T1021.001', 'T1027', 'T1041', 'T1053.005', 'T1057', 'T1068', 'T1078', 'T1082', 'T1083', 'T1105', 'T1110', 'T1190', 'T1219', 'T1518.001', 'T1548.002', 'T1562.001', 'T1564.001']",17,19,13,6,4,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5652173913043478,"['T1059.003', 'T1210', 'T1484.001', 'T1570']","['T1005', 'T1041', 'T1057', 'T1083', 'T1518.001', 'T1564.001']","['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1068', 'T1078', 'T1082', 'T1105', 'T1110', 'T1190', 'T1219', 'T1548.002', 'T1562.001']"
Malicious OAuth applications used to compromise email servers and spread spam  Microsoft Security Blog,['T1110'],"['T1078', 'T1090', 'T1204.002', 'T1566.001']",1,4,0,4,1,0.0,0.0,0.0,0.0,['T1110'],"['T1078', 'T1090', 'T1204.002', 'T1566.001']",[]
Malware Analysis LummaC2 Stealer,"['T1005', 'T1027', 'T1036.005', 'T1041', 'T1071.001', 'T1078', 'T1082', 'T1112', 'T1140', 'T1566.001']","['T1005', 'T1027', 'T1041', 'T1071.001', 'T1082', 'T1105', 'T1106', 'T1140', 'T1566.001']",10,9,7,2,3,0.7777777777777778,0.7,0.7368421052631577,0.5833333333333334,"['T1036.005', 'T1078', 'T1112']","['T1105', 'T1106']","['T1005', 'T1027', 'T1041', 'T1071.001', 'T1082', 'T1140', 'T1566.001']"
Malware Spotlight Camaro Dragons TinyNote Backdoor,"['T1033', 'T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1082', 'T1105', 'T1106', 'T1140', 'T1562.001', 'T1574.002']","['T1027', 'T1036.005', 'T1053.005', 'T1055', 'T1057', 'T1059.003', 'T1071.001', 'T1082', 'T1083', 'T1090', 'T1106', 'T1140', 'T1518.001', 'T1562.001', 'T1564.001', 'T1574.002']",11,16,9,7,2,0.5625,0.8181818181818182,0.6666666666666666,0.5,"['T1033', 'T1105']","['T1027', 'T1036.005', 'T1057', 'T1083', 'T1090', 'T1518.001', 'T1564.001']","['T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1082', 'T1106', 'T1140', 'T1562.001', 'T1574.002']"
Nefilim Ransomware,"['T1003.001', 'T1021.001', 'T1027', 'T1047', 'T1059.003', 'T1078', 'T1105', 'T1106', 'T1110', 'T1112', 'T1190']","['T1003.001', 'T1021.001', 'T1027', 'T1041', 'T1047', 'T1059.003', 'T1068', 'T1070.004', 'T1074.001', 'T1078', 'T1083', 'T1105', 'T1106', 'T1110', 'T1190', 'T1219', 'T1518.001', 'T1548.002', 'T1562.001']",11,19,10,9,1,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.5,['T1112'],"['T1041', 'T1068', 'T1070.004', 'T1074.001', 'T1083', 'T1219', 'T1518.001', 'T1548.002', 'T1562.001']","['T1003.001', 'T1021.001', 'T1027', 'T1047', 'T1059.003', 'T1078', 'T1105', 'T1106', 'T1110', 'T1190']"
New Horabot campaign targets the Americas,"['T1005', 'T1012', 'T1027', 'T1036.005', 'T1041', 'T1055', 'T1056.001', 'T1059.003', 'T1070.004', 'T1071.001', 'T1074.001', 'T1078', 'T1082', 'T1083', 'T1090', 'T1105', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1518.001', 'T1543.003', 'T1547.001', 'T1566.001', 'T1574.002']","['T1005', 'T1012', 'T1027', 'T1036.005', 'T1041', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1074.001', 'T1078', 'T1082', 'T1083', 'T1090', 'T1105', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1518.001', 'T1547.001', 'T1566.001', 'T1574.002']",25,23,22,1,3,0.9565217391304348,0.88,0.9166666666666666,0.8461538461538461,"['T1055', 'T1071.001', 'T1543.003']",['T1057'],"['T1005', 'T1012', 'T1027', 'T1036.005', 'T1041', 'T1056.001', 'T1059.003', 'T1070.004', 'T1074.001', 'T1078', 'T1082', 'T1083', 'T1090', 'T1105', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1518.001', 'T1547.001', 'T1566.001', 'T1574.002']"
Not just an infostealer Gopuram backdoor deployed through 3CX supply chain attack,"['T1027', 'T1041', 'T1055', 'T1095', 'T1105', 'T1106', 'T1112', 'T1140', 'T1518.001', 'T1543.003', 'T1574.002']","['T1027', 'T1055', 'T1105', 'T1106', 'T1112', 'T1140', 'T1518.001', 'T1543.003', 'T1574.002']",11,9,9,0,2,1.0,0.8181818181818182,0.9,0.8181818181818182,"['T1041', 'T1095']",[],"['T1027', 'T1055', 'T1105', 'T1106', 'T1112', 'T1140', 'T1518.001', 'T1543.003', 'T1574.002']"
NotPetya Technical Analysis  A Triple Threat File Encryption MFT Encryption Credential Theft,"['T1003.001', 'T1016', 'T1027', 'T1047', 'T1053.005', 'T1056.001', 'T1057', 'T1059.003', 'T1078', 'T1082', 'T1083', 'T1106', 'T1140', 'T1210', 'T1218.011', 'T1518.001', 'T1570']","['T1003.001', 'T1016', 'T1027', 'T1041', 'T1047', 'T1053.005', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1074.001', 'T1078', 'T1083', 'T1105', 'T1106', 'T1140', 'T1218.011']",17,17,13,4,4,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.6190476190476191,"['T1082', 'T1210', 'T1518.001', 'T1570']","['T1041', 'T1070.004', 'T1074.001', 'T1105']","['T1003.001', 'T1016', 'T1027', 'T1047', 'T1053.005', 'T1056.001', 'T1057', 'T1059.003', 'T1078', 'T1083', 'T1106', 'T1140', 'T1218.011']"
Operation Spalax Targeted malware attacks in Colombia,"['T1005', 'T1012', 'T1016', 'T1021.001', 'T1027', 'T1033', 'T1041', 'T1053.005', 'T1055', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1090', 'T1095', 'T1105', 'T1106', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1218.011', 'T1518.001', 'T1547.001', 'T1548.002', 'T1562.001', 'T1566.001', 'T1573.001']","['T1003.001', 'T1005', 'T1012', 'T1016', 'T1021.001', 'T1027', 'T1033', 'T1036.005', 'T1041', 'T1053.005', 'T1055', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1090', 'T1095', 'T1106', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1218.011', 'T1219', 'T1518.001', 'T1547.001', 'T1548.002', 'T1562.001', 'T1566.001', 'T1573.001']",30,32,29,3,1,0.90625,0.9666666666666667,0.9354838709677419,0.8787878787878788,['T1105'],"['T1003.001', 'T1036.005', 'T1219']","['T1005', 'T1012', 'T1016', 'T1021.001', 'T1027', 'T1033', 'T1041', 'T1053.005', 'T1055', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1090', 'T1095', 'T1106', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1218.011', 'T1518.001', 'T1547.001', 'T1548.002', 'T1562.001', 'T1566.001', 'T1573.001']"
Rorschach  A New Sophisticated and Fast Ransomware  Check Point Research,"['T1027', 'T1053.005', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1106', 'T1140', 'T1484.001', 'T1562.001', 'T1574.002']","['T1027', 'T1053.005', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1083', 'T1106', 'T1140', 'T1562.001', 'T1574.002']",11,11,10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8333333333333334,['T1484.001'],['T1083'],"['T1027', 'T1053.005', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1106', 'T1140', 'T1562.001', 'T1574.002']"
SOC Team Essentials  How to Investigate and Track the 8220 Gang Cloud Threat,"['T1027', 'T1105', 'T1110', 'T1140']","['T1027', 'T1059.003', 'T1105', 'T1110', 'T1140', 'T1190']",4,6,4,2,0,0.6666666666666666,1.0,0.8,0.6666666666666666,[],"['T1059.003', 'T1190']","['T1027', 'T1105', 'T1110', 'T1140']"
StopRansomware Royal Ransomware,"['T1021.001', 'T1027', 'T1059.003', 'T1070.004', 'T1078', 'T1105', 'T1190', 'T1484.001', 'T1562.001', 'T1566.001', 'T1570']","['T1021.001', 'T1071.001', 'T1078', 'T1105', 'T1112', 'T1190', 'T1219', 'T1518.001', 'T1562.001']",11,9,5,4,6,0.5555555555555556,0.45454545454545453,0.5,0.3333333333333333,"['T1027', 'T1059.003', 'T1070.004', 'T1484.001', 'T1566.001', 'T1570']","['T1071.001', 'T1112', 'T1219', 'T1518.001']","['T1021.001', 'T1078', 'T1105', 'T1190', 'T1562.001']"
Take a NetWalk on the Wild Side,"['T1027', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1105', 'T1106', 'T1112', 'T1140', 'T1547.001']","['T1005', 'T1012', 'T1027', 'T1055', 'T1057', 'T1070.004', 'T1090', 'T1105', 'T1106', 'T1112', 'T1113', 'T1140', 'T1518.001', 'T1566.001']",11,14,8,6,3,0.5714285714285714,0.7272727272727273,0.64,0.47058823529411764,"['T1059.003', 'T1082', 'T1547.001']","['T1005', 'T1012', 'T1090', 'T1113', 'T1518.001', 'T1566.001']","['T1027', 'T1055', 'T1057', 'T1070.004', 'T1105', 'T1106', 'T1112', 'T1140']"
Threat Assessment Black Basta Ransomware,"['T1003.001', 'T1016', 'T1021.001', 'T1027', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1105', 'T1112', 'T1219', 'T1484.001', 'T1543.003', 'T1562.001', 'T1566.001', 'T1569.002']","['T1003.001', 'T1016', 'T1021.001', 'T1041', 'T1047', 'T1070.004', 'T1074.001', 'T1082', 'T1112', 'T1140', 'T1218.011', 'T1219', 'T1543.003', 'T1562.001', 'T1564.001', 'T1566.001', 'T1574.002']",16,17,10,7,6,0.5882352941176471,0.625,0.6060606060606061,0.43478260869565216,"['T1027', 'T1059.003', 'T1083', 'T1105', 'T1484.001', 'T1569.002']","['T1041', 'T1047', 'T1074.001', 'T1140', 'T1218.011', 'T1564.001', 'T1574.002']","['T1003.001', 'T1016', 'T1021.001', 'T1070.004', 'T1082', 'T1112', 'T1219', 'T1543.003', 'T1562.001', 'T1566.001']"
Tomiris called they want their Turla malware back,[],[],0,0,0,0,0,0.0,0.0,0.0,0.0,[],[],[]
Understanding DNS attacks Identifying and patching vulnerabilities  Snyk,"['T1041', 'T1056.001', 'T1071.001', 'T1078', 'T1105']","['T1016', 'T1041', 'T1059.003', 'T1090', 'T1574.002']",5,5,1,4,4,0.2,0.2,0.20000000000000004,0.1111111111111111,"['T1056.001', 'T1071.001', 'T1078', 'T1105']","['T1016', 'T1059.003', 'T1090', 'T1574.002']",['T1041']
eSentire Threat Intelligence Malware Analysis BatLoader,"['T1005', 'T1012', 'T1016', 'T1027', 'T1033', 'T1047', 'T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1082', 'T1090', 'T1095', 'T1105', 'T1106', 'T1112', 'T1113', 'T1140', 'T1218.011', 'T1219', 'T1518.001', 'T1547.001', 'T1552.001', 'T1562.001', 'T1573.001']","['T1012', 'T1016', 'T1027', 'T1033', 'T1053.005', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1071.001', 'T1090', 'T1105', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1218.011', 'T1219', 'T1518.001', 'T1547.001', 'T1562.001', 'T1564.001', 'T1566.001']",25,23,18,5,7,0.782608695652174,0.72,0.7499999999999999,0.6,"['T1005', 'T1047', 'T1082', 'T1095', 'T1106', 'T1552.001', 'T1573.001']","['T1057', 'T1070.004', 'T1204.002', 'T1564.001', 'T1566.001']","['T1012', 'T1016', 'T1027', 'T1033', 'T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1090', 'T1105', 'T1112', 'T1113', 'T1140', 'T1218.011', 'T1219', 'T1518.001', 'T1547.001', 'T1562.001']"
