true_label_missed,pred_label_extra,count
T1053,T1041,1
T1046,T1098,1
T1562,T1098,1
T1132,T1137,1
T1583,T1140,1
T1583,T1137,1
T1203,T1140,1
T1203,T1137,1
T1574,T1140,1
T1574,T1137,1
T1528,T1098,1
T1491,T1588,1
T1528,T1190,1
T1210,T1102,1
T1210,T1098,1
T1210,T1110,1
T1210,T1190,1
T1105,T1219,1
T1105,T1587,1
T1195,T1588,1
T1528,T1110,1
T1071,T1090,1
T1071,T1102,1
T1071,T1204,1
T1071,T1112,1
T1055,T1185,1
T1055,T1090,1
T1055,T1102,1
T1562,T1071,1
T1055,T1112,1
T1189,T1185,1
T1189,T1090,1
T1189,T1102,1
T1189,T1204,1
T1189,T1112,1
T1005,T1185,1
T1005,T1102,1
T1055,T1204,1
T1555,T1583,1
T1555,T1587,1
T1046,T1041,1
T1555,T1090,1
T1005,T1056,1
T1005,T1105,1
T1005,T1583,1
T1005,T1587,1
T1071,T1185,1
T1557,T1114,1
T1557,T1036,1
T1528,T1090,1
T1528,T1114,1
T1528,T1036,1
T1078,T1090,1
T1078,T1114,1
T1078,T1036,1
T1005,T1059,1
T1005,T1120,1
T1049,T1564,1
T1049,T1140,1
T1049,T1120,1
T1071,T1105,1
T1071,T1571,1
T1071,T1543,1
T1005,T1204,1
T1055,T1571,1
T1055,T1543,1
T1204,T1105,1
T1204,T1571,1
T1204,T1543,1
T1620,T1105,1
T1620,T1571,1
T1620,T1543,1
T1055,T1105,1
T1005,T1112,1
T1583,T1608,1
T1583,T1078,1
T1586,T1608,1
T1586,T1114,1
T1204,T1059,1
T1204,T1102,1
T1071,T1037,1
T1005,T1140,1
T1071,T1082,1
T1033,T1564,1
T1033,T1140,1
T1033,T1120,1
T1083,T1564,1
T1083,T1140,1
T1083,T1120,1
T1005,T1564,1
T1071,T1140,1
