doc_id,true,pred,n_true_labels,n_pred_labels,tp,fp,fn,precision,recall,f1,accuracy,missing_labels,extra_labels,correct_labels
Fantasy  a new Agrius wiper deployed through a supplychain attack,"['T1003.001', 'T1027', 'T1033', 'T1059.003', 'T1070.004', 'T1078', 'T1082', 'T1083', 'T1106', 'T1112', 'T1140', 'T1190', 'T1218.011', 'T1570']","['T1003.001', 'T1027', 'T1059.003', 'T1070.004', 'T1078', 'T1083', 'T1106', 'T1112', 'T1140', 'T1190', 'T1219']",14,11,10,1,4,0.9090909090909091,0.7142857142857143,0.8,0.6666666666666666,"['T1033', 'T1082', 'T1218.011', 'T1570']",['T1219'],"['T1003.001', 'T1027', 'T1059.003', 'T1070.004', 'T1078', 'T1083', 'T1106', 'T1112', 'T1140', 'T1190']"
FedEx Phishing Campaign Abusing TrustedForm and PAAY,['T1204.002'],"['T1082', 'T1106', 'T1204.002']",1,3,1,2,0,0.3333333333333333,1.0,0.5,0.3333333333333333,[],"['T1082', 'T1106']",['T1204.002']
Hafniuminspired cyberattacks neutralized by AI,"['T1036.005', 'T1078', 'T1110', 'T1566.001']",['T1204.002'],4,1,0,1,4,0.0,0.0,0.0,0.0,"['T1036.005', 'T1078', 'T1110', 'T1566.001']",['T1204.002'],[]
LAPSUS Recent techniques tactics and procedures,"['T1005', 'T1021.001', 'T1070.004', 'T1078', 'T1082', 'T1552.001']","['T1021.001', 'T1078']",6,2,2,0,4,1.0,0.3333333333333333,0.5,0.3333333333333333,"['T1005', 'T1070.004', 'T1082', 'T1552.001']",[],"['T1021.001', 'T1078']"
LockBit 20 How This RaaS Operates and How to Protect Against It,"['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1059.003', 'T1068', 'T1078', 'T1082', 'T1105', 'T1110', 'T1190', 'T1210', 'T1219', 'T1484.001', 'T1548.002', 'T1562.001', 'T1570']","['T1003.001', 'T1016', 'T1027', 'T1053.005', 'T1059.003', 'T1070.004', 'T1078', 'T1082', 'T1105', 'T1110', 'T1190', 'T1204.002', 'T1219', 'T1548.002', 'T1562.001', 'T1566.001']",17,16,12,4,5,0.75,0.7058823529411765,0.7272727272727272,0.5714285714285714,"['T1021.001', 'T1068', 'T1210', 'T1484.001', 'T1570']","['T1016', 'T1070.004', 'T1204.002', 'T1566.001']","['T1003.001', 'T1027', 'T1053.005', 'T1059.003', 'T1078', 'T1082', 'T1105', 'T1110', 'T1190', 'T1219', 'T1548.002', 'T1562.001']"
Malicious OAuth applications used to compromise email servers and spread spam  Microsoft Security Blog,['T1110'],"['T1070.004', 'T1078', 'T1090']",1,3,0,3,1,0.0,0.0,0.0,0.0,['T1110'],"['T1070.004', 'T1078', 'T1090']",[]
Malware Analysis LummaC2 Stealer,"['T1005', 'T1027', 'T1036.005', 'T1041', 'T1071.001', 'T1078', 'T1082', 'T1112', 'T1140', 'T1566.001']","['T1016', 'T1027', 'T1071.001', 'T1082']",10,4,3,1,7,0.75,0.3,0.4285714285714285,0.2727272727272727,"['T1005', 'T1036.005', 'T1041', 'T1078', 'T1112', 'T1140', 'T1566.001']",['T1016'],"['T1027', 'T1071.001', 'T1082']"
Malware Spotlight Camaro Dragons TinyNote Backdoor,"['T1033', 'T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1082', 'T1105', 'T1106', 'T1140', 'T1562.001', 'T1574.002']","['T1016', 'T1027', 'T1053.005', 'T1055', 'T1057', 'T1059.003', 'T1071.001', 'T1082', 'T1083', 'T1105', 'T1106', 'T1140', 'T1204.002', 'T1562.001', 'T1574.002']",11,15,10,5,1,0.6666666666666666,0.9090909090909091,0.7692307692307692,0.625,['T1033'],"['T1016', 'T1027', 'T1057', 'T1083', 'T1204.002']","['T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1082', 'T1105', 'T1106', 'T1140', 'T1562.001', 'T1574.002']"
Nefilim Ransomware,"['T1003.001', 'T1021.001', 'T1027', 'T1047', 'T1059.003', 'T1078', 'T1105', 'T1106', 'T1110', 'T1112', 'T1190']","['T1003.001', 'T1027', 'T1059.003', 'T1106', 'T1110', 'T1219']",11,6,5,1,6,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.4166666666666667,"['T1021.001', 'T1047', 'T1078', 'T1105', 'T1112', 'T1190']",['T1219'],"['T1003.001', 'T1027', 'T1059.003', 'T1106', 'T1110']"
New Horabot campaign targets the Americas,"['T1005', 'T1012', 'T1027', 'T1036.005', 'T1041', 'T1055', 'T1056.001', 'T1059.003', 'T1070.004', 'T1071.001', 'T1074.001', 'T1078', 'T1082', 'T1083', 'T1090', 'T1105', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1518.001', 'T1543.003', 'T1547.001', 'T1566.001', 'T1574.002']","['T1016', 'T1027', 'T1041', 'T1056.001', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1082', 'T1083', 'T1105', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1518.001', 'T1566.001', 'T1574.002']",25,18,17,1,8,0.9444444444444444,0.68,0.7906976744186047,0.6538461538461539,"['T1005', 'T1012', 'T1036.005', 'T1055', 'T1074.001', 'T1090', 'T1543.003', 'T1547.001']",['T1016'],"['T1027', 'T1041', 'T1056.001', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1082', 'T1083', 'T1105', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1518.001', 'T1566.001', 'T1574.002']"
Not just an infostealer Gopuram backdoor deployed through 3CX supply chain attack,"['T1027', 'T1041', 'T1055', 'T1095', 'T1105', 'T1106', 'T1112', 'T1140', 'T1518.001', 'T1543.003', 'T1574.002']","['T1027', 'T1055', 'T1070.004', 'T1082', 'T1105', 'T1106', 'T1112', 'T1140', 'T1518.001', 'T1574.002']",11,10,8,2,3,0.8,0.7272727272727273,0.761904761904762,0.6153846153846154,"['T1041', 'T1095', 'T1543.003']","['T1070.004', 'T1082']","['T1027', 'T1055', 'T1105', 'T1106', 'T1112', 'T1140', 'T1518.001', 'T1574.002']"
NotPetya Technical Analysis  A Triple Threat File Encryption MFT Encryption Credential Theft,"['T1003.001', 'T1016', 'T1027', 'T1047', 'T1053.005', 'T1056.001', 'T1057', 'T1059.003', 'T1078', 'T1082', 'T1083', 'T1106', 'T1140', 'T1210', 'T1218.011', 'T1518.001', 'T1570']","['T1003.001', 'T1027', 'T1047', 'T1053.005', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1078', 'T1083', 'T1105', 'T1106', 'T1140', 'T1190', 'T1218.011', 'T1570']",17,16,13,3,4,0.8125,0.7647058823529411,0.787878787878788,0.65,"['T1016', 'T1082', 'T1210', 'T1518.001']","['T1070.004', 'T1105', 'T1190']","['T1003.001', 'T1027', 'T1047', 'T1053.005', 'T1056.001', 'T1057', 'T1059.003', 'T1078', 'T1083', 'T1106', 'T1140', 'T1218.011', 'T1570']"
Operation Spalax Targeted malware attacks in Colombia,"['T1005', 'T1012', 'T1016', 'T1021.001', 'T1027', 'T1033', 'T1041', 'T1053.005', 'T1055', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1090', 'T1095', 'T1105', 'T1106', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1218.011', 'T1518.001', 'T1547.001', 'T1548.002', 'T1562.001', 'T1566.001', 'T1573.001']","['T1016', 'T1021.001', 'T1027', 'T1053.005', 'T1055', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1090', 'T1095', 'T1105', 'T1106', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1218.011', 'T1518.001', 'T1547.001', 'T1548.002', 'T1562.001', 'T1566.001', 'T1573.001']",30,26,26,0,4,1.0,0.8666666666666667,0.9285714285714286,0.8666666666666667,"['T1005', 'T1012', 'T1033', 'T1041']",[],"['T1016', 'T1021.001', 'T1027', 'T1053.005', 'T1055', 'T1056.001', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1090', 'T1095', 'T1105', 'T1106', 'T1112', 'T1113', 'T1140', 'T1204.002', 'T1218.011', 'T1518.001', 'T1547.001', 'T1548.002', 'T1562.001', 'T1566.001', 'T1573.001']"
Rorschach  A New Sophisticated and Fast Ransomware  Check Point Research,"['T1027', 'T1053.005', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1106', 'T1140', 'T1484.001', 'T1562.001', 'T1574.002']","['T1027', 'T1053.005', 'T1055', 'T1070.004', 'T1082', 'T1106', 'T1140', 'T1562.001', 'T1574.002']",11,9,8,1,3,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.6666666666666666,"['T1057', 'T1059.003', 'T1484.001']",['T1082'],"['T1027', 'T1053.005', 'T1055', 'T1070.004', 'T1106', 'T1140', 'T1562.001', 'T1574.002']"
SOC Team Essentials  How to Investigate and Track the 8220 Gang Cloud Threat,"['T1027', 'T1105', 'T1110', 'T1140']","['T1027', 'T1105', 'T1110', 'T1140']",4,4,4,0,0,1.0,1.0,1.0,1.0,[],[],"['T1027', 'T1105', 'T1110', 'T1140']"
StopRansomware Royal Ransomware,"['T1021.001', 'T1027', 'T1059.003', 'T1070.004', 'T1078', 'T1105', 'T1190', 'T1484.001', 'T1562.001', 'T1566.001', 'T1570']","['T1021.001', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1105', 'T1112', 'T1190', 'T1204.002', 'T1219', 'T1562.001', 'T1566.001']",11,12,8,4,3,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.5333333333333333,"['T1027', 'T1484.001', 'T1570']","['T1071.001', 'T1112', 'T1204.002', 'T1219']","['T1021.001', 'T1059.003', 'T1070.004', 'T1078', 'T1105', 'T1190', 'T1562.001', 'T1566.001']"
Take a NetWalk on the Wild Side,"['T1027', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1082', 'T1105', 'T1106', 'T1112', 'T1140', 'T1547.001']","['T1027', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1083', 'T1090', 'T1106', 'T1112', 'T1140']",11,10,8,2,3,0.8,0.7272727272727273,0.761904761904762,0.6153846153846154,"['T1082', 'T1105', 'T1547.001']","['T1083', 'T1090']","['T1027', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1106', 'T1112', 'T1140']"
Threat Assessment Black Basta Ransomware,"['T1003.001', 'T1016', 'T1021.001', 'T1027', 'T1059.003', 'T1070.004', 'T1082', 'T1083', 'T1105', 'T1112', 'T1219', 'T1484.001', 'T1543.003', 'T1562.001', 'T1566.001', 'T1569.002']","['T1003.001', 'T1021.001', 'T1027', 'T1047', 'T1059.003', 'T1070.004', 'T1082', 'T1105', 'T1112', 'T1219', 'T1543.003', 'T1562.001', 'T1566.001', 'T1570']",16,14,12,2,4,0.8571428571428571,0.75,0.7999999999999999,0.6666666666666666,"['T1016', 'T1083', 'T1484.001', 'T1569.002']","['T1047', 'T1570']","['T1003.001', 'T1021.001', 'T1027', 'T1059.003', 'T1070.004', 'T1082', 'T1105', 'T1112', 'T1219', 'T1543.003', 'T1562.001', 'T1566.001']"
Tomiris called they want their Turla malware back,[],[],0,0,0,0,0,0.0,0.0,0.0,0.0,[],[],[]
Understanding DNS attacks Identifying and patching vulnerabilities  Snyk,"['T1041', 'T1056.001', 'T1071.001', 'T1078', 'T1105']","['T1090', 'T1105']",5,2,1,1,4,0.5,0.2,0.28571428571428575,0.16666666666666666,"['T1041', 'T1056.001', 'T1071.001', 'T1078']",['T1090'],['T1105']
eSentire Threat Intelligence Malware Analysis BatLoader,"['T1005', 'T1012', 'T1016', 'T1027', 'T1033', 'T1047', 'T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1082', 'T1090', 'T1095', 'T1105', 'T1106', 'T1112', 'T1113', 'T1140', 'T1218.011', 'T1219', 'T1518.001', 'T1547.001', 'T1552.001', 'T1562.001', 'T1573.001']","['T1016', 'T1027', 'T1053.005', 'T1055', 'T1059.003', 'T1070.004', 'T1071.001', 'T1082', 'T1090', 'T1105', 'T1106', 'T1112', 'T1140', 'T1218.011', 'T1518.001', 'T1547.001', 'T1548.002', 'T1562.001', 'T1573.001']",25,19,17,2,8,0.8947368421052632,0.68,0.7727272727272727,0.6296296296296297,"['T1005', 'T1012', 'T1033', 'T1047', 'T1095', 'T1113', 'T1219', 'T1552.001']","['T1070.004', 'T1548.002']","['T1016', 'T1027', 'T1053.005', 'T1055', 'T1059.003', 'T1071.001', 'T1082', 'T1090', 'T1105', 'T1106', 'T1112', 'T1140', 'T1218.011', 'T1518.001', 'T1547.001', 'T1562.001', 'T1573.001']"
