sentence_id,sentence,recovered_label
1014,"It will created if it does not exist Then concatenates three strings (v2, “:*:Enabled:”, and “Windows Firewall Update”) into v7 and finally Writes the concatenated string v7 to the registry above, using System__AnsiString as the value name. “Windows Firewall Update” application has been added to the list of authorized applications.",T1547.014
79,Attackers may use Kubernetes CronJob for scheduling execution of malicious code that would run as a container in the cluster.,T1053.007
936,Additionally: - Limit the usage of the xp_cmdshell procedure on MSSQL database servers.,T1505.001
1676,"Crambus Web Shell Crambus has used Web shells, often to maintain access to a victim network.",T1100
1174,Non-Application Layer Protocol DinodasRAT has used TCP or UDP protocols for its connection to the C&C server.,T1095
947,"These queries facilitate the discreet extraction of security event logs into .dat files, allowing Volt Typhoon actors to gather critical information while minimizing detection.",T1654
104,"This repository contains PowerShell cmdlets for developers and administrators to develop, deploy, administer, and manage Microsoft Azure resources.",T1059.009
349,"Exfiltration: Share compromised resources to an account you control to speed exfiltration, or use DNS for stealthy exfiltration.",T1537
797,"Key persistence Using another interesting trick, encrypted computer keys are hidden inside NTFS metadata, by using Extended Attributes.",T1096
6,"Dumping LSA Secrets What is stored in LSA secrets?Originally, the secrets contained cached domain records.",T1003.004
596,"Deploying malicious OAuth application Once the threat actor gained access to privileged users, their next step was to set up the malicious application.",T1671
1924,"When successful, t hese low-effort, high -reward approaches allow thre at actors to steal sensitive information, acquire user credentials, and gain persistent access to victim networks.",T1528
582,"This means that legitimately issued certificates for the user/system may have been stolen, and/or certificates may have been maliciously requested.",T1649
1357,Compromise Client Software Binary FontOnLake modifies several standard binaries to achieve persistence.,T1554
290,MeiQia(美洽) live chat application Threat actor Clicking on malicious link Sends malicious link Exploit executes shellcode Cobalt strike Runs Patch electron app Targeted Electron app Batch commands Loading exploit Delivers JS payload Code repo 44 | ©2023 Trend Micro Inc.,T1218.015
326,"Attack Description: In an ACK DDoS attack (or ACK-PUSH Flood), attackers send spoofed ACK (or ACK-PUSH) packets at very high packet rates that fail to belong to any current session within the firewall’s state-table and/or server’s connection list.",T1499.001
875,"If a default command fails, use the --custom flag available in most features to adjust paths and commands for your environment.",T1548.003
2070,"In this campaign the Lazarus group demonstrated its so phistication level and ability to circumvent the security measures they face during their attacks, such as network segmentation.",T1557.001
1744,"Extensive Use of SLAPSTICK and TINYSHELL Backdoors Like past UNC1945 intrusions, Mandiant observed UNC2891 make extensive use of the Pluggable Authentication Module (PAM) based backdoor we track as SLAPSTICK to aid with credential harvesting, and to provide backdoor access to compromised machines in victim networks.",T1556.003
590,We know that China injected the payload at some point between Baidu's servers and when the traffic exited the country.,T1659
215,"Over the last year, Office 365 security has been tracking an emergent attacker persistence mechanism in the Exchange Online ecosystem.",T1137
2088,"Three hours later, after failing to enumerate the EC2 instances to which the new AWS IAM account would have access, the ubuntu account issued API calls which deleted RDS backups, removed the accounts it had created and terminated the session.",T1578.002
1899,"Figure 9: PowerShell command to modify Windows Defender settingspowershell -inputformat none -outputformat none -NonInteractive -Command Add-MpPreference -ExclusionPath ""%s"" This Add-MpPreference command modifies settings for Windows Defender and specifies a file path to exclude from scheduled and real-time scanning.",T1027.005
1932,"The malware operator also collected a registry sam dump containing password hashes: exe /c “reg.exe save hklm\sam %temp%\~reg_sam.save > “%temp%\BD54EA8118AF46.TMP~” 2>&1′′ exe /c “reg.exe save hklm\system %temp%\~reg_system.save > “%temp%\405A758FA9C3DD.TMP~” 2>&1′′ In the lateral movement phase, the malware operator used well-known methodologies.",T1003.002
981,"Notably, Avaddon was one of the first to add DDoS attacks as yet another intimidation mechanism to their arsenal: If clients failed to comply with the ransom demands, they stood to experience a damaging DDoS attack in addition to their data being leaked to the public, and any tarnishing of their reputation as a result of the breach.",T1498.001
